number,post,label
0,يعني الاجانب مسموح لهم يدخلون السعوديه بكبرها بجرعة وحده واحنا ماندخل بقالة الا بجرعتين افتحو لنا الاماكن العامة زينا زيهم وجع,anger
0,اي والله ماننجبر علي اللقاح جسمنا حرين فيه وثانيا الله خلق لنا جهاز مناعي يفوق قدرة اللقاح في مواجهه المرض,anger
1467185614709788675,...,anger
1466032298801963014,...,anger
1466031831350980616,...,anger
0,خلونا نعيش حياتنا عادية وكفانا من نقل الاخبار الكاذبة، الصحافة هي التي تضخم الامور وتحسسنا انها نهاية العالم,anger
0,كافي كذب. لا متحور ولا شي. الله ينتقم منكم. دمرتوا العالم وظلت تلقح وبدت الناس تموت باعداد كبيره,anger
0,مين المجنون الي يروح لمصدر الوباء,anger
0,رئيس الصين يخفي خطر الفيروس في وهان شيء واضح يظن الكل قليلو الخبره,anger
1459326115793850376,...,anger
0,وين لقاحكم,anger
0,لازم الشعوب تتحرك الامر اصبح سخيف,anger
0,المسرحية مستمرة,anger
1454792706690015232,...,anger
1454798919670579206,...,anger
0,الحين ﷲ سبحانه خلقنا جهاز المناعي وظيفته انه يقوي المناعه ليش انت تروح تاخذ لقاح متحور خطير وتقتل نفسك،،، تبي تقوي المناعه خذ أشياء طبيعيه احسن من انك تاخذ لقاح ماتدري بعد سنه سنتين وش بيصيرلك!!!!,anger
0,ي كثر الي اعرفهم اخذوه وماتوا ولا تم الإعلان عنهم والي نجو بعد فترة الله يكون بعونهم قال مافي اعراض قال✋,anger
0,لا لتخويف الناس ليس كل من لديه هذه الأعراض مصاب بكورونا لالتخويف الناس ونشر الرعب في صفوفهم دعونا من هذه الفديوهات لنشر الوساوس في صفوف الناس الله يهديكم,anger
0,اجل اذا انتشر كورونا لاتزعجونا,anger
0,تري زودتو امها اقسم بالله!!! اختي كانت بتموت بعد الجرعه الثانية! حسبي الله عليكم,anger
1467921647630012423,...,anger
1468638433484709891,...,anger
1468590957771866119,...,anger
1466436918804205581,...,anger
1466357146153541636,...,anger
1468435882608898053,...,anger
1468444650059010050,...,anger
1468555961384284163,...,anger
1274671909926559745,...,anger
1410676000850157571,...,anger
1465315496765632520,...,anger
1467460264371048452,...,anger
1467529019474259972,...,anger
1466399831073644545,...,anger
1253683954827300866,...,anger
1241132769985658887,...,anger
1428977019510050817,...,anger
1272781253809504256,...,anger
1269498984369926149,...,anger
1382724592595263494,...,anger
1270794824598380550,...,anger
1467650889951367176,...,anger
1467911765430345731,...,anger
1280497680263917569,...,anger
1262317685628682240,...,anger
1412749133530775558,...,anger
1241367016004517891,...,anger
1465997907035930631,...,anger
1398418584049750017,...,anger
1223557579814645760,...,anger
1359633994044870660,...,anger
1359557829141684236,...,anger
1245878132760023042,...,anger
1275151583790104576,...,anger
1273927526033825793,...,anger
0,تلاعبات و تخويف إعلامي مخطط له لأجل ربح الشركات و إقناع غير الملقحين باللقاح بعد الإحتجاجات الأخيرة... ضحك على الدقون.,anger
0,احسن. عشان الناس نحمدالله ع النعمه والعافيه. ان شاء الله حجر سنه لين تطلع عقولهم,anger
0,لمفروض كلهم عن بعد يعني ناس تنجح من الغش وهم جالسين وناس تذاكر وتتعب !!؟؟؟,anger
1466073096679526402,...,anger
1463901579447316487,...,anger
1463901579447316487,...,anger
0,وش السالفه وش جرعته بعد من جد طالت ومصخت,anger
0,والي ياخذها ومرض ولا استفاد ؟ الله يشفيكم,anger
0,الإستمرار في تلقى اللقاحات !!,anger
1466030794225430528,...,anger
1467479882997379075,...,anger
1466870745385127936,...,anger
0,تضخيم تضخيم نفخ نفخ نفخ بااوميكرون. وبعدين!!,anger
1463905349283495942,...,anger
1463995048220139520,...,anger
1462838199575887876,...,anger
1462845755576758283,...,anger
0,الله يلعن السياسة العالمية الجديدة ، كلها كذب واللقاح هو من يقتل الناس وليس القيروس,anger
0,والله مافي متحور وكورونا غير الاعلام الفاسد كنا من غيركم عايشين بسلام,anger
0,بلا كذب زوجي تلقح والان مريض والسبب مجهول كان بخير قبل اللقاح وانا لن اتلقح ابدا ان شاء الله اللقاح عبارة عن موت بطيء,anger
1311352603591180290,...,anger
1237752526583271425,...,anger
1468883075526496257,...,anger
1282797215317188610,...,anger
1466139482911133699,...,anger
1309261086802284544,...,anger
1242119103135068168,...,anger
1251869709701722113,...,anger
1464510070776111107,...,anger
