tweet,label,,,,
"??»«б’ж— жёЁ… Ён яЁ—н«”нЁ »«бѕ«ќб «бгЌ б°  дѕнѕ«р »«” г—«— Џѕж«д «б≈Ќ б«б Џбм ёЎ«Џ џ“…. #—ЁЌ_ »«ѕ_н«_«ге_«бгбн«— #—ЁЌ_ х»«ѕ_н«_√г…_«бгбн«— https://t.co/jh9CHDncpm†",anger,,anger,5008,0.305198367
Ён  «—нќ «бЏ«бг бг н ћ—√ «Ќѕ Џбм «г—ня« жг’«бЌе« ≈б« гЌж— «бгё«жг… «б»√” «бнг«дн е«ћг Ќ м Ќ«гб«  «бЎ«∆—«  «б√г—нян… бне“ ен»… «б«”«Ўнб «б«г—нян… жнўе— Џћ“е« √г«г ÷—»«  «д’«— «ббе #«бнгд_нƒѕ»_«г—ня« https://t.co/Kc0s8rawpl†,anger,,happy,3535,0.215430556
#»«бЁнѕнж ‘нжќ Џ‘«∆— »дн Ќ”д нЏ»—жд Џд Ёќ—ег ж«Џ “«“ег »”г«Ќ… #«б‘нќ_ён”_«бќ“Џбн жгЌннд ѕж—е Ён ѕЌ— ѕ«Џ‘ .. https://t.co/r5Z3tr8rSv†,happiness,,sad,1892,0.115302578
#«б‘нќ_ён”_«бќ“Џбн Ён  џ—нѕ… бе н»«—я б√»д«Ѕ ‘Џ»д« «бЏ—«ён ’ѕж— ё—«— гћб” «б√гд «бѕжбн »≈де«Ѕ Џгб »ЏЋ… «б√гг «бг Ќѕ… нжд«дн Ён «бЏ—«ё #«б‘нќ_«б√гнд #’»«Ќ_¬бќн№№№№— #«бЏ—«ё https://t.co/Ex4HPqeUe3†,happiness,,fav,4661,0.284051435
#«б‘нќ_«б√гнд https://t.co/wcGqzlX12T†,favoritism,,non,1313,0.080017064
«б‘—Ў… «б’енждн…  Џ ѕн Џбм г ў«е—нд «”—«∆ннбнд Ён гѕнд… ЌнЁ« ќб«б «Ќ ћ«ћег Џбм гћ“—… #—ЁЌ «г… «бгбн«— г”бг ’«—  «г… «бгбн«— ћ»«д #—ЁЌ_ »«ѕ_ё«ЎЏж«_«г—ня« https://t.co/K1vmRLmbOB†,anger,,sum,16409,
?? √нд Ќёжё «б≈д”«д «б н  ѕшЏждњ ?? √нд ег √жб∆я «б–нд  ’гш дѕ«Ѕ« ег «б‘«–ш… √”г«Џ «бЏ«бг Ќжб Ќёжё «б≈д”«дњ бг«–« б« н—жд г« нЌѕЋ ед«њ √бн” еƒб«Ѕ »‘—«рњ √б« нгбяжд Ќёжё«рњ #—ЁЌ_ »«ѕ_ё«ЎЏж«_«г—ня« #WashingtonState @AJMinWash https://t.co/8nokCjmBp2†,anger,,,,
е–« «бдя—… гд“Џћ гд «б —»н… «б≈”б«гн… «б н нЌ«жб «б”нѕ дёбе« «бм «бгћ гЏ «бЏ—«ён жнёжб «д ”г«Ќ… «б”нѕ ќЎ—р« Џбм «бгћ гЏ!! «б«г— ж«÷Ќ ћѕр« Ќгб… яЁм «г—ня« я”—  ўе— «бг‘—жЏ «б«г—нян Ён «бЏ—«ё жЁ÷Ќ е Ёег б« н” ЎнЏжд «бгж«ће… Ён «бгнѕ«д #—ЁЌ_ »«ѕ_ё«ЎЏж«_«г—ня« https://t.co/yeZiZzFJCY†,anger,,,,
"#«гнд_«бЏ—«ё ”г«Ќ… #«б‘нќ_ён”_«бќ“Џбн гЏ“н«р Ён гћб” «бЏ“«Ѕ «бгё«г Џбм —жЌ «б‘нќ гЋдм «б Ќ« г «б Ќ”д «бЌ”д«жн «гн— ё»«∆б »дн Ќ”д ° ж«б–н «ёнг Ён гЌ«Ёў… «бдћЁ «б«‘—Ё https://t.co/24SafaMhhS†",sadness,,,,
ћ«д» гд гў«е—… ќ—ћ  Ён «бЏ«’г… «бЁ—д”н… »«—н” д’—… бџ“… жЁб”Ўнд. #—ЁЌ_ »«ѕ_ё«ЎЏж«_«г—ня« https://t.co/ZYPVjuVjL9†,favoritism,,,,
